RA,DEC,z,W1mag,W2mag,W1_W2,M_W1,L_W1,Mstar,log_mass,galaxy_type
239.5833,27.2334,0.0792,14.41800022,14.19200039,0.225999832,-23.43019616,46567021931,8395351634,9.924038891,Spiral
202.7959,-1.7273,0.0828,12.06700039,11.95300007,0.11400032,-25.88305496,4.45884E+11,1.54761E+11,11.18966153,Elliptical
355.9481,0.2567,0.2719,14.14999962,13.85000038,0.299999237,-26.62748908,8.85107E+11,1.03514E+11,11.01499909,Elliptical
3.1893,8.3964,0.3625,14.20699978,13.95400047,0.252999306,-27.29230903,1.63276E+12,2.51365E+11,11.40030481,Elliptical
15.225,28.3908,0.3293,14.30599976,14.06400013,0.241999626,-26.9503762,1.19165E+12,1.95646E+11,11.29147097,Elliptical
187.2606,47.6224,0.261,13.71899986,13.43099976,0.288000107,-26.95714239,1.1991E+12,1.50431E+11,11.17733734,Elliptical
158.8249,12.0762,0.3182,14.50599957,14.28800011,0.217999458,-26.66410392,9.15465E+11,1.72951E+11,11.23792308,Elliptical
191.7827,31.5809,0.3634,14.58199978,14.29800034,0.283999443,-26.92360476,1.16263E+12,1.49308E+11,11.17408308,Elliptical
224.3129,22.3429,0.2547,13.50699997,13.21000004,0.296999931,-27.10877524,1.37883E+12,1.64108E+11,11.21512975,Elliptical
255.4164,47.7542,0.3793,14.57999992,14.42599964,0.154000282,-27.03452198,1.28768E+12,3.53711E+11,11.54864857,Giant Elliptical / BCG
231.6547,44.106,0.3802,15.40999985,15.19999981,0.210000038,-26.21056048,6.02871E+11,1.1935E+11,11.07682242,Elliptical
234.9187,34.4243,0.2332,15.25899982,15.13899994,0.119999886,-25.13986203,2.24877E+11,75360730793,10.8771451,Elliptical
4.9222,25.302,0.3689,13.95499992,13.76000023,0.194999695,-27.58876905,2.1454E+12,4.63669E+11,11.66620806,Giant Elliptical / BCG
198.7718,51.8174,0.2764,13.54300022,13.26599979,0.277000427,-27.27524214,1.6073E+12,2.15038E+11,11.33251521,Elliptical
183.077,27.5486,0.3532,14,13.81900024,0.180999756,-27.43339573,1.85934E+12,4.36133E+11,11.63961895,Giant Elliptical / BCG
121.9472,39.7766,0.3687,14.28100014,14.07199955,0.209000587,-27.26139025,1.58692E+12,3.16005E+11,11.49969395,Elliptical
8.6173,2.423,0.3843,14.54300022,14.41800022,0.125,-27.10490263,1.37392E+12,4.47158E+11,11.65046101,Giant Elliptical / BCG
134.1544,29.9333,0.2884,13.91800022,13.66399956,0.254000664,-27.00600667,1.2543E+12,1.91973E+11,11.28324015,Elliptical
353.4685,7.0816,0.2944,14.07699966,13.78499985,0.291999817,-26.89838012,1.13593E+12,1.39211E+11,11.14367355,Elliptical
163.6741,37.8225,0.3795,14.49100018,14.29800034,0.19299984,-27.12486474,1.39941E+12,3.06003E+11,11.48572568,Elliptical
186.8781,8.8246,0.0824,12.40400028,12.34899998,0.055000305,-25.53494822,3.23578E+11,1.58591E+11,11.20027854,Elliptical
347.9645,4.2833,0.3105,14.22999954,14.02200031,0.207999229,-26.87861527,1.11544E+12,2.23423E+11,11.34912788,Elliptical
